number;title;kp_rating;imbd_rating;year;url;_utc_timestamp
97;…А в душе я танцую;8.111;7.8;2004;https://www.kinopoisk.ru/film/84014;2020-01-03 11:24:11
210;Я – Сэм;8.003;7.6;2001;https://www.kinopoisk.ru/film/706;2020-01-03 11:24:19
425;Я шагаю по Москве;7.997;7.9;1963;https://www.kinopoisk.ru/film/42398;2020-01-03 11:24:27
80;Эффект бабочки;8.168;7.6;2003;https://www.kinopoisk.ru/film/5167;2020-01-03 11:24:11
50;Эта замечательная жизнь;8.452;8.6;1947;https://www.kinopoisk.ru/film/348;2020-01-03 11:24:11
491;Эквилибриум;7.894;7.4;2002;https://www.kinopoisk.ru/film/309;2020-01-03 11:24:27
391;Эдвард руки-ножницы;7.993;7.9;1990;https://www.kinopoisk.ru/film/8421;2020-01-03 11:24:19
378;Шёпот сердца;8.286;8.0;1995;https://www.kinopoisk.ru/film/32714;2020-01-03 11:24:19
193;Шрэк;7.985;7.8;2001;https://www.kinopoisk.ru/film/430;2020-01-03 11:24:11
56;Шоу Трумана;8.252;8.1;1998;https://www.kinopoisk.ru/film/4541;2020-01-03 11:24:11
73;Шестое чувство;8.172;8.1;1999;https://www.kinopoisk.ru/film/395;2020-01-03 11:24:11
139;Шерлок Холмс и доктор Ватсон: Сокровища Агры  (ТВ);8.349;8.4;1983;https://www.kinopoisk.ru/film/77264;2020-01-03 11:24:11
98;Шерлок Холмс и доктор Ватсон: Смертельная схватка  (ТВ);8.426;8.6;1980;https://www.kinopoisk.ru/film/354799;2020-01-03 11:24:11
109;Шерлок Холмс и доктор Ватсон: Кровавая надпись  (ТВ);8.414;8.5;1979;https://www.kinopoisk.ru/film/77265;2020-01-03 11:24:11
131;Шерлок Холмс и доктор Ватсон: Король шантажа  (ТВ);8.357;8.5;1980;https://www.kinopoisk.ru/film/368936;2020-01-03 11:24:11
65;Шерлок Холмс и доктор Ватсон: Знакомство  (ТВ);8.556;8.6;1980;https://www.kinopoisk.ru/film/77269;2020-01-03 11:24:11
339;Шерлок Холмс и доктор Ватсон: Двадцатый век начинается  (ТВ);8.182;8.0;1987;https://www.kinopoisk.ru/film/77267;2020-01-03 11:24:19
156;Шерлок Холмс;8.071;7.6;2009;https://www.kinopoisk.ru/film/420923;2020-01-03 11:24:11
471;Чёрный лебедь;7.731;8.0;2010;https://www.kinopoisk.ru/film/278273;2020-01-03 11:24:27
324;Чужой;8.062;8.4;1979;https://www.kinopoisk.ru/film/386;2020-01-03 11:24:19
296;Чужие;8.04;8.3;1986;https://www.kinopoisk.ru/film/406;2020-01-03 11:24:19
453;Что гложет Гилберта Грейпа?;7.934;7.8;1993;https://www.kinopoisk.ru/film/4466;2020-01-03 11:24:27
315;Чтец;7.934;7.6;2008;https://www.kinopoisk.ru/film/325439;2020-01-03 11:24:19
351;Четыреста ударов;8.096;8.1;1959;https://www.kinopoisk.ru/film/510;2020-01-03 11:24:19
310;Черная кошка, белый кот;7.973;8.1;1998;https://www.kinopoisk.ru/film/38198;2020-01-03 11:24:19
179;Человек-слон;8.104;8.1;1980;https://www.kinopoisk.ru/film/464;2020-01-03 11:24:11
470;Человек-паук: Через вселенные;7.984;8.4;2018;https://www.kinopoisk.ru/film/920265;2020-01-03 11:24:27
254;Человек с бульвара Капуцинов;8.015;7.8;1987;https://www.kinopoisk.ru/film/45463;2020-01-03 11:24:19
70;Человек дождя;8.247;8.0;1988;https://www.kinopoisk.ru/film/519;2020-01-03 11:24:11
311;Чаплин;7.962;7.6;1992;https://www.kinopoisk.ru/film/2058;2020-01-03 11:24:19
199;Цирк;8.017;8.2;1928;https://www.kinopoisk.ru/film/2119;2020-01-03 11:24:11
305;Цельнометаллическая оболочка;8.008;8.3;1987;https://www.kinopoisk.ru/film/418;2020-01-03 11:24:19
412;Цветок пустыни;7.957;7.4;2009;https://www.kinopoisk.ru/film/470769;2020-01-03 11:24:27
208;Хулиганы;8.027;7.5;2005;https://www.kinopoisk.ru/film/77444;2020-01-03 11:24:19
64;Храброе сердце;8.281;8.3;1995;https://www.kinopoisk.ru/film/399;2020-01-03 11:24:11
51;Хороший, плохой, злой;8.527;8.8;1966;https://www.kinopoisk.ru/film/349;2020-01-03 11:24:11
52;Хористы;8.277;7.9;2004;https://www.kinopoisk.ru/film/51481;2020-01-03 11:24:11
247;Холодное лето пятьдесят третьего...;8.05;7.9;1987;https://www.kinopoisk.ru/film/7660;2020-01-03 11:24:19
482;Холодная гора;7.846;7.2;2003;https://www.kinopoisk.ru/film/1942;2020-01-03 11:24:27
101;Ходячий замок;8.279;8.2;2004;https://www.kinopoisk.ru/film/49684;2020-01-03 11:24:11
205;Хоббит: Пустошь Смауга;7.97;7.8;2013;https://www.kinopoisk.ru/film/408876;2020-01-03 11:24:19
105;Хоббит: Нежданное путешествие;8.061;7.8;2012;https://www.kinopoisk.ru/film/278522;2020-01-03 11:24:11
45;Хатико: Самый верный друг;8.341;8.1;2008;https://www.kinopoisk.ru/film/387556;2020-01-03 11:24:11
285;Харакири;8.101;8.7;1962;https://www.kinopoisk.ru/film/103148;2020-01-03 11:24:19
424;Фрида;7.911;7.4;2002;https://www.kinopoisk.ru/film/676;2020-01-03 11:24:27
3;Форрест Гамп;8.913;8.8;1994;https://www.kinopoisk.ru/film/448;2020-01-03 11:24:11
281;Формула любви  (ТВ);8.166;8.1;1984;https://www.kinopoisk.ru/film/81432;2020-01-03 11:24:19
495;Ушедшие;8.077;8.1;2008;https://www.kinopoisk.ru/film/391762;2020-01-03 11:24:27
215;Ураган;7.96;7.6;1999;https://www.kinopoisk.ru/film/4914;2020-01-03 11:24:19
47;Унесённые призраками;8.433;8.6;2001;https://www.kinopoisk.ru/film/370;2020-01-03 11:24:11
89;Унесенные ветром;8.382;8.1;1939;https://www.kinopoisk.ru/film/456;2020-01-03 11:24:11
142;Умница Уилл Хантинг;8.074;8.3;1997;https://www.kinopoisk.ru/film/539;2020-01-03 11:24:11
85;Укрощение строптивого;8.385;7.7;1980;https://www.kinopoisk.ru/film/63912;2020-01-03 11:24:11
221;Убить пересмешника;8.037;8.3;1962;https://www.kinopoisk.ru/film/357;2020-01-03 11:24:19
204;Тэмпл Грандин  (ТВ);7.935;8.3;2010;https://www.kinopoisk.ru/film/424153;2020-01-03 11:24:19
260;Троя;8.022;7.2;2004;https://www.kinopoisk.ru/film/3442;2020-01-03 11:24:19
278;Тропы славы;8.08;8.4;1957;https://www.kinopoisk.ru/film/360;2020-01-03 11:24:19
466;Триумф;7.842;7.4;2005;https://www.kinopoisk.ru/film/77795;2020-01-03 11:24:27
334;Три тополя на Плющихе;8.108;7.8;1968;https://www.kinopoisk.ru/film/42308;2020-01-03 11:24:19
460;Три плюс два;8.028;7.4;1963;https://www.kinopoisk.ru/film/46792;2020-01-03 11:24:27
219;Три идиота;8.059;8.4;2009;https://www.kinopoisk.ru/film/423210;2020-01-03 11:24:19
167;Три билборда на границе Эббинга, Миссури;8.166;8.2;2017;https://www.kinopoisk.ru/film/944098;2020-01-03 11:24:11
492;Тренировочный день;7.831;7.7;2001;https://www.kinopoisk.ru/film/863;2020-01-03 11:24:27
175;Тренер Картер;8.041;7.3;2005;https://www.kinopoisk.ru/film/77531;2020-01-03 11:24:11
201;Трасса 60;8.015;7.7;2001;https://www.kinopoisk.ru/film/3563;2020-01-03 11:24:19
480;Трамвай «Желание»;8.028;8.0;1951;https://www.kinopoisk.ru/film/486;2020-01-03 11:24:27
170;Тот самый Мюнхгаузен  (ТВ);8.276;8.5;1979;https://www.kinopoisk.ru/film/77283;2020-01-03 11:24:11
472;Токийская повесть;8.032;8.2;1953;https://www.kinopoisk.ru/film/79836;2020-01-03 11:24:27
455;Тихий Дон;8.132;7.8;1957;https://www.kinopoisk.ru/film/42248;2020-01-03 11:24:27
40;Титаник;8.365;7.8;1997;https://www.kinopoisk.ru/film/2213;2020-01-03 11:24:11
58;Терминатор 2: Судный день;8.307;8.5;1991;https://www.kinopoisk.ru/film/444;2020-01-03 11:24:11
451;Терминатор;7.972;8.0;1984;https://www.kinopoisk.ru/film/507;2020-01-03 11:24:27
141;Терминал;8.069;7.3;2004;https://www.kinopoisk.ru/film/6877;2020-01-03 11:24:11
91;Темный рыцарь: Возрождение легенды;8.138;8.4;2012;https://www.kinopoisk.ru/film/437410;2020-01-03 11:24:11
39;Темный рыцарь;8.5;9.0;2008;https://www.kinopoisk.ru/film/111543;2020-01-03 11:24:11
468;Телохранитель;8.011;8.2;1961;https://www.kinopoisk.ru/film/445;2020-01-03 11:24:27
176;Твоё имя;8.308;8.4;2016;https://www.kinopoisk.ru/film/958722;2020-01-03 11:24:11
135;Танцующий с волками;8.11;8.0;1990;https://www.kinopoisk.ru/film/2037;2020-01-03 11:24:11
394;Танцующая в темноте;7.943;8.0;2000;https://www.kinopoisk.ru/film/646;2020-01-03 11:24:19
420;Такси;7.892;7.0;1998;https://www.kinopoisk.ru/film/14349;2020-01-03 11:24:27
326;Тайна третьей планеты;8.017;8.0;1981;https://www.kinopoisk.ru/film/42172;2020-01-03 11:24:19
32;Тайна Коко;8.597;8.4;2017;https://www.kinopoisk.ru/film/679486;2020-01-03 11:24:11
437;Таинственная река;7.796;7.9;2003;https://www.kinopoisk.ru/film/3730;2020-01-03 11:24:27
94;Счастливое число Слевина;8.112;7.7;2005;https://www.kinopoisk.ru/film/86326;2020-01-03 11:24:11
183;Схватка;8.034;8.2;1995;https://www.kinopoisk.ru/film/571;2020-01-03 11:24:11
271;Сука-любовь;7.915;8.1;2000;https://www.kinopoisk.ru/film/488;2020-01-03 11:24:19
81;Судьба человека;8.368;8.0;1959;https://www.kinopoisk.ru/film/44027;2020-01-03 11:24:11
223;Столкновение;7.886;7.8;2004;https://www.kinopoisk.ru/film/61297;2020-01-03 11:24:19
294;Стена;8.109;8.1;1982;https://www.kinopoisk.ru/film/23712;2020-01-03 11:24:19
